Timestamp,Username,Your name,Your language,1. How many consonant phonemes does your language have in total?,2. How many vowel phonemes does your language have in total?,3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following vowel phonemes does your language have?,6. Which of the following phonetic and phonological properties does your language have?,7. Which of the following syllable types are allowed in your language?,
2017/10/11 9:31:57 AM AST,56b4f673eab08ab0,5f4647ddf616f962,Yuki,23,6,29,/n/;/t/;/m/;/k/;/j/;/s/;/p/;/l/;/w/;/h/;/ʔ/,/e/;/o/;/i/;/u/;/ʌ/,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There are ""complex consonants"" (complex = clicks, glottalized consonants, labial-velar stops, interdental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is tone (including ""pitch accent"") in the language.","CV;CVC;coda clusters of 2 (e.g., at a word ending: (C)VCC)",
2017/10/11 7:12:17 PM AST,920e02995fe8808f,4e366022ca47a5c5,Marquesan,11,10,21,/n/;/t/;/m/;/k/;/j/;/p/;/l/;/w/;/h/;/ʔ/;/v/,/a/;/e/;/o/;/i/;/u/,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There is stress in the language, and stress is predictable (follows a pattern).",CV;V,
2017/10/12 1:56:23 PM AST,279d5bde60343a16,d20af7c25157592f,Kukama-Kukamaria,11,5,16,/n/;/t/;/m/;/k/;/j/;/p/;/w/;/tʃ/;/ts/;/x/,/a/;/e/;/i/;/u/,There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.,"CV;V;CVC;onset clusters of 2 (e.g., at a word beginning: CCV)",Option 1
2017/10/12 7:13:57 PM AST,58275fc1b36a7a18,3382c958280cfc03,Cupeño,21,12,33,/n/;/t/;/m/;/k/;/j/;/s/;/p/;/l/;/w/;/h/;/ŋ/;/ʃ/;/ʔ/;/tʃ/;/f/;/ɲ/;/x/,/a/;/o/;/i/;/u/;/ə/,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There are ""complex consonants"" (complex = clicks, glottalized consonants, labial-velar stops, interdental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is predictable (follows a pattern).",CV;V;CVC,
2017/10/12 10:01:21 PM AST,e550c0d494dfa934,4eed165ad0821067,Kulina,16,4,20,/n/;/t/;/m/;/k/;/p/;/w/;/b/;/d/;/ts/,/a/;/o/;/i/,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There is stress in the language, and stress is predictable (follows a pattern).",CV;V,
2017/10/13 6:44:11 PM AST,a2498e5fce977d5f,19dae3d0a7bfa1e5,Manchu,19,7,26,/n/;/t/;/m/;/k/;/s/;/p/;/l/;/h/;/b/;/d/;/g/;/ŋ/;/tʃ/;/f/;/dʒ/,/a/;/e/;/o/;/i/;/u/;/ə/,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There are ""complex consonants"" (complex = clicks, glottalized consonants, labial-velar stops, interdental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is predictable (follows a pattern).",CV;V;CVC,
2017/10/13 8:25:05 PM AST,0c857638971e4899,64b485b9d8b5c9d5,Comanche,12,6,18,/n/;/t/;/m/;/k/;/j/;/s/;/p/;/w/;/h/;/ʔ/;/ts/,/a/;/e/;/o/;/i/;/u/;/ɨ/,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There are ""complex consonants"" (complex = clicks, glottalized consonants, labial-velar stops, interdental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is predictable (follows a pattern).",CV;V;CVC,
2017/10/14 3:03:22 PM AST,f21c069ced49f432,aed8d802bc5911b9,Arapaho,12,12,24,/n/;/t/;/k/;/j/;/s/;/w/;/h/;/b/;/ʔ/;/tʃ/;/x/,None of the above,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There are ""complex consonants"" (complex = clicks, glottalized consonants, labial-velar stops, interdental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is tone (including ""pitch accent"") in the language.;There is stress in the language, and stress is predictable (follows a pattern).","CV;V;CVC;coda clusters of 2 (e.g., at a word ending: (C)VCC)",
2017/10/14 5:03:26 PM AST,1a93c6fc556aba49,9872daa3972221c6,Pite Saami,43,9,52,/n/;/t/;/m/;/k/;/j/;/s/;/p/;/l/;/h/;/ŋ/;/ʃ/;/tʃ/;/f/;/r/;/ɲ/;/ts/;/v/,/a/;/e/;/o/;/i/;/u/,"There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.;There are ""complex consonants"" (complex = clicks, glottalized consonants, labial-velar stops, interdental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is predictable (follows a pattern).","CV;CVC;onset clusters of 2 (e.g., at a word beginning: CCV);onset clusters of 3 (e.g., at a word beginning: CCCV);coda clusters of 2 (e.g., at a word ending: (C)VCC);coda clusters of 3 (e.g., at a word ending: (C)VCCC)",
2017/10/14 5:09:06 PM AST,ce0f31e997fab73a,573bcc800467e808,Bardi,17,7,24,/n/;/t/;/m/;/k/;/j/;/p/;/l/;/w/;/g/;/ŋ/;/r/;/ɲ/,/a/;/o/;/i/;/u/,There are at least three places of articulation for consonants.;There are at least two manners of articulation for consonants.,"CV;V;CVC;onset clusters of 2 (e.g., at a word beginning: CCV);coda clusters of 2 (e.g., at a word ending: (C)VCC);coda clusters of 3 (e.g., at a word ending: (C)VCCC)",
