Timestamp,Username,Your name,Your language,What country (or countries) is/was your language primarily spoken in (originally)?,What language family does your language belong to?,"Level of endangerment (according to Ethnologue, or according to your grammar if that has been deemed more reliable)","1. How many consonant phonemes does your language have in total (including affricates, non-pulmonic consonants, etc.)?","2. How many vowel phonemes does your language have in total (including diphthongs, triphthongs, long vowels, nasalized vowels, etc.)? (Do not include vowels with distinct tones as being distinct from each other.)",3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following less common consonant phonemes does your language have?,6. Does your language have any of the following types of consonants (as phonemes)?,7. Which of the following common vowel phonemes does your language have?,8. Which of the following less common vowel phonemes does your language have?,9. Does your language have any vowels of the following types (as phonemes)? ,10. Which of the following phonetic and phonological properties does your language have?,11. Which of the following characteristics of syllables are allowed in your language?
2023/09/29 9:28:08 AM MDT,30b555c992a9d7dd,1e79fe9e7614602e,Coastal Marind,Indonesia,Anim,6b,19,5,24,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/",/ɣ/;/ɰ/,Pre-nasalized,/a/;/e/;/o/;/i/;/u/,None of the above,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2023/09/29 1:17:15 PM MDT,6f3ba94cae07167c,34ced3098482e915,Warao,Venezuela,Language Isolate,6a,11,5,16,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/h/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",Labialized,/a/;/e/;/o/;/i/;/u/,None of the above,Long vowels,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2023/09/29 2:06:08 PM MDT,05b2de6183471212,c38acd31cf124d54,Jejueo,South Korea,Koreanic,8a,21,10,31,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/ŋ/;/tʃ/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/",Aspirated,/a/;/e/;/o/;/i/;/u/;/ə/;/ɨ/,/æ/;/ɒ/,Diphthongs,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/09/29 6:20:05 PM MDT,06504dcf32129919,e1bc58e0e69f10e1,Evenki,Siberia + Asiatic Russia ,Altaic ,6b,18,13,31,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/tʃ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/;/dʒ/;/x/;/v/",None of the above,Affricates,/o/;/i/;/u/;/ɯ/,/ɛ/;/aᶠ/,Long vowels;Diphthongs,"There is stress (may also be called ""accent"") in the language, but stress is not predictably placed.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/09/30 12:37:33 PM MDT,dd17374d10186905,46d465f299687e10,Xong,China,Miao-Yao,6b,65,15,80,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/f/;/z/;/ts/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/ʈʰ/;/kʰ/;/qʰ/;/ʋ/;/ɣ/;/ɰ/",Affricates;Labialized;Palatalized;Aspirated,/o/;/i/;/u/,/ɛ/;/aᶠ/;/ɤ/;/ɑ/,Nasalized vowels;Diphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2023/09/30 2:58:53 PM MDT,6c5793859d1932c6,b25b0c9ceab59eb4,Ute,United States,Uto-Aztecan,6b,13,5,18,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/p/;/ʔ/","/β/;/ʋ/;/θ/;/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/c/;/ɣ/",Labialized;Palatalized;Velarized;Glottalized,/i/;/u/;/ɯ/,/œ/;/ɐ/,Long vowels;Voiceless vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2023/09/30 3:39:54 PM MDT,d8a1fd9827817dc6,2598dcb75c0b8b5b,Duuŋidjawu,Australia (Southeast Queensland),Australian,9,13,10,23,"/n/ (including dental, alveolar, or postalveolar /n/);/m/;/j/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/","/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/ɟ/",None of the above,/a/;/i/;/u/,/ɛ/;/ɔ/,Long vowels,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2023/10/01 12:11:11 AM MDT,02c01df6007faaaa,a73b81d91e175253,Kulina,"Brazil, Peru",Arawan ,6a,16,4,20,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/p/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/ts/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/;/β/;/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/dz/",Affricates;Aspirated,/a/;/i/,/ɛ/;/ɤ/,Nasalized vowels;Long vowels,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2023/10/01 1:54:30 PM MDT,89145240fe42efd2,b43e5fc6e61d01a2,Bardi,Australia ,Nyulnyulan,8a,17,7,24,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/ŋ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/",/ʈ/;/ɳ/;/ɻ/;/ɭ/;/c/;/ʎ/,None of the above,/a/;/o/;/i/,/ʊ/;/ɔ/;/ɑ/,Long vowels,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2023/10/02 3:28:29 PM MDT,f5b71b24f12c22f1,ab9255f68a47ad66,Pite Saami,Sweden and Norway,Uralic,8b,43,9,52,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/ŋ/;/ʃ/;/tʃ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/;/ts/;/v/",None of the above,Affricates,/a/;/e/;/o/;/i/;/u/,/ɛ/;/ɔ/,Long vowels;Diphthongs,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC);CCC coda (syllable with three coda consonants, e.g., VCCC or CVCCC)"
